"corpus","name","months","sex","utterance"
"braunwald","Laura","17","None","cup"
"braunwald","Laura","17","None","yes please"
"braunwald","Laura","17","None","ohoh"
"braunwald","Laura","17","None","baby"
"braunwald","Laura","17","None","Laura"
"braunwald","Laura","17","None","Dora"
"braunwald","Laura","17","None","hey baby"
"braunwald","Laura","17","None","song"
"braunwald","Laura","17","None","xxx"
"braunwald","Laura","17","None","om lala"
"braunwald","Laura","17","None","hey"
"braunwald","Laura","17","None","ow"
"braunwald","Laura","17","None","uhuh"
"braunwald","Laura","17","None","xxx"
"braunwald","Laura","17","None","xxx"
"braunwald","Laura","17","None","Laura"
"braunwald","Laura","17","None","xxx"
"braunwald","Laura","17","None","here"
"braunwald","Laura","17","None","Laura"
"braunwald","Laura","17","None","baby"
"braunwald","Laura","17","None","baby"
"braunwald","Laura","17","None","night"
"braunwald","Laura","17","None","night"
"braunwald","Laura","17","None","here"
"braunwald","Laura","17","None","xxx"
"braunwald","Laura","17","None","it is night"
"braunwald","Laura","17","None","xxx"
"braunwald","Laura","17","None","Daddy"
"braunwald","Laura","17","None","xxx"
"braunwald","Laura","17","None","spiders"
"braunwald","Laura","17","None","oh"
"braunwald","Laura","17","None","me Dwww"
"braunwald","Laura","17","None","on"
"braunwald","Laura","17","None","on"
"braunwald","Laura","17","None","no"
"braunwald","Laura","17","None","buttons"
"braunwald","Laura","17","None","uh"
"braunwald","Laura","17","None","down"
"braunwald","Laura","17","None","water"
"braunwald","Laura","17","None","water"
"braunwald","Laura","17","None","there"
"braunwald","Laura","17","None","dance there"
"braunwald","Laura","17","None","ahha"
"braunwald","Laura","17","None","on"
"braunwald","Laura","17","None","don't"
"braunwald","Laura","17","None","give"
"braunwald","Laura","17","None","I want"
"braunwald","Laura","17","None","Daddy"
"braunwald","Laura","17","None","dance"
"braunwald","Laura","17","None","on"
"braunwald","Laura","17","None","I want that that that that"
"braunwald","Laura","17","None","eh"
"braunwald","Laura","17","None","go"
"braunwald","Laura","17","None","ohoh"
"braunwald","Laura","17","None","ohoh"
"braunwald","Laura","17","None","ohoh"
"braunwald","Laura","17","None","xxx"
"braunwald","Laura","17","None","yeah"
"braunwald","Laura","17","None","xxx"
"braunwald","Laura","17","None","xxx"
"braunwald","Laura","17","None","xxx"
"braunwald","Laura","17","None","thank"
"braunwald","Laura","17","None","thank"
"braunwald","Laura","17","None","yeah"
"braunwald","Laura","17","None","on"
"braunwald","Laura","17","None","Cee"
"braunwald","Laura","17","None","xxx"
"braunwald","Laura","17","None","spider"
"braunwald","Laura","17","None","Cee"
"braunwald","Laura","17","None","down"
"braunwald","Laura","17","None","bye"
"braunwald","Laura","17","None","car"
"braunwald","Laura","17","None","car"
"braunwald","Laura","17","None","there"
"braunwald","Laura","17","None","bye"
"braunwald","Laura","17","None","car"
"braunwald","Laura","17","None","car"
"braunwald","Laura","17","None","baby"
"braunwald","Laura","17","None","night"
"braunwald","Laura","17","None","night"
"braunwald","Laura","17","None","Cee"
"braunwald","Laura","17","None","cookie"
"braunwald","Laura","17","None","spoon"
"braunwald","Laura","17","None","oh"
"braunwald","Laura","17","None","down"
"braunwald","Laura","17","None","down"
"braunwald","Laura","17","None","there"
"braunwald","Laura","17","None","recorder"
"braunwald","Laura","17","None","aya"
"braunwald","Laura","17","None","xxx"
"braunwald","Laura","17","None","door"
"braunwald","Laura","17","None","xxx"
"braunwald","Laura","17","None","key"
"braunwald","Laura","17","None","bye"
"braunwald","Laura","17","None","car"
"braunwald","Laura","17","None","kitty"
"braunwald","Laura","17","None","outside"
"braunwald","Laura","17","None","xxx"
"braunwald","Laura","17","None","bow"
"braunwald","Laura","17","None","bye"
"braunwald","Laura","17","None","xxx"
"braunwald","Laura","17","None","bow"
"braunwald","Laura","17","None","bow"
"braunwald","Laura","17","None","she lives next door to"
"braunwald","Laura","17","None","bow"
"braunwald","Laura","17","None","xxx"
"braunwald","Laura","17","None","xxx"
"braunwald","Laura","17","None","recorder"
"braunwald","Laura","17","None","xxx"
"braunwald","Laura","17","None","cookie"
"braunwald","Laura","17","None","xxx"
"braunwald","Laura","17","None","no"
"braunwald","Laura","17","None","Deedee"
"braunwald","Laura","17","None","here"
"braunwald","Laura","17","None","cookie"
"braunwald","Laura","17","None","that that door"
"braunwald","Laura","17","None","that tata"
"braunwald","Laura","17","None","xxx"
"braunwald","Laura","17","None","nose"
"braunwald","Laura","17","None","eye"
"braunwald","Laura","17","None","ear"
"braunwald","Laura","17","None","Laura"
"braunwald","Laura","17","None","toe"
"braunwald","Laura","17","None","xxx"
"braunwald","Laura","17","None","tickle"
"braunwald","Laura","17","None","toe"
"braunwald","Laura","17","None","ah"
"braunwald","Laura","17","None","uh"
"braunwald","Laura","17","None","toe"
"braunwald","Laura","17","None","recorder"
"braunwald","Laura","17","None","toe"
"braunwald","Laura","17","None","ah"
"braunwald","Laura","17","None","toe"
"braunwald","Laura","17","None","my"
"braunwald","Laura","17","None","toe"
"braunwald","Laura","17","None","where"
"braunwald","Laura","17","None","here"
"braunwald","Laura","17","None","no"
"braunwald","Laura","17","None","there"
"braunwald","Laura","17","None","down"
"braunwald","Laura","17","None","xxx"
"braunwald","Laura","17","None","Dwww"
"braunwald","Laura","17","None","papa"
"braunwald","Laura","17","None","yeah"
"braunwald","Laura","17","None","papa"
"braunwald","Laura","17","None","papa"
"braunwald","Laura","17","None","papa"
"braunwald","Laura","17","None","no"
"braunwald","Laura","17","None","xxx"
"braunwald","Laura","17","None","tata"
"braunwald","Laura","17","None","on"
"braunwald","Laura","17","None","papa"
"braunwald","Laura","17","None","go xxx"
"braunwald","Laura","17","None","go"
"braunwald","Laura","17","None","fee"
"braunwald","Laura","17","None","d do"
"braunwald","Laura","17","None","se"
"braunwald","Laura","17","None","see"
"braunwald","Laura","17","None","be"
"braunwald","Laura","17","None","baby"
"braunwald","Laura","17","None","baby"
"braunwald","Laura","17","None","baby"
"braunwald","Laura","17","None","go"
"braunwald","Laura","17","None","car car"
"braunwald","Laura","17","None","Nana"
"braunwald","Laura","17","None","baa hot hot"
